cum_step,meta_step,segment,elapsed_train_sec,wallclock_iso,ms_per_step,pElo,nll,pLoss,vLoss,legalMass,pIllM,bn1Mean,gNorm,sae2,eff_alpha,pLogit_mean,pLogit_peak,frozen_file,note
1000,1000,0,367.4,2026-06-29T11:32:37,283.9,889.3,3.178,3.11,0.82,0.9214,,0.037,1.586,0.8455,,14.30,19.625,20260629-mini1b-Coxw-step1000-frozen.safetensors,
2000,2000,0,731.7,2026-06-29T11:38:41,281.3,1023.0,2.847,3.02,0.82,0.9497,,0.049,1.172,0.8739,,15.18,21.25,20260629-mini1b-Coxw-step2000-frozen.safetensors,
3000,3000,0,1093.8,2026-06-29T11:44:43,279.9,1041.6,2.797,3.00,0.82,0.9587,,0.062,1.312,0.8879,,15.61,21.875,20260629-mini1b-Coxw-step3000-frozen.safetensors,
4000,4000,0,1457.8,2026-06-29T11:50:47,280.3,1079.2,2.754,2.94,0.82,0.9641,,0.073,1.195,0.8974,,16.01,22.375,20260629-mini1b-Coxw-step4000-frozen.safetensors,
5000,5000,0,1820.7,2026-06-29T11:56:50,279.5,1078.6,2.744,2.92,0.81,0.9683,,0.079,0.969,0.9033,,16.23,23.125,20260629-mini1b-Coxw-step5000-frozen.safetensors,
6000,6000,0,2185.2,2026-06-29T12:02:55,282.0,1131.6,2.669,2.89,0.84,0.9714,,0.086,1.102,0.9089,,16.35,22.375,20260629-mini1b-Coxw-step6000-frozen.safetensors,
7000,7000,0,2548.8,2026-06-29T12:08:58,282.9,1097.0,2.733,2.88,0.84,0.9746,,0.093,1.031,0.9128,,16.46,23.375,20260629-mini1b-Coxw-step7000-frozen.safetensors,
8000,8000,0,2913.3,2026-06-29T12:15:03,284.0,1096.0,2.717,2.86,0.81,0.9741,,0.098,0.984,0.9167,,16.43,22.75,20260629-mini1b-Coxw-step8000-frozen.safetensors,
9000,9000,0,3277.6,2026-06-29T12:21:07,285.6,1153.0,2.635,2.84,0.81,0.9767,,0.102,1.078,0.9191,,16.50,23.25,20260629-mini1b-Coxw-step9000-frozen.safetensors,
10000,10000,0,3642.0,2026-06-29T12:27:12,281.6,1196.1,2.556,2.84,0.81,0.9746,,0.108,1.188,0.9215,,16.71,24.25,20260629-mini1b-Coxw-step10000-frozen.safetensors,
