cum_step,meta_step,segment,elapsed_train_sec,wallclock_iso,ms_per_step,pElo,nll,pLoss,vLoss,legalMass,pIllM,bn1Mean,gNorm,sae2,eff_alpha,pLogit_mean,pLogit_peak,frozen_file,note
1000,1000,0,427.1,2026-06-29T09:25:40,346.0,889.9,3.169,3.09,0.82,0.9185,,2.766,1.531,0.3042,,14.62,19.375,20260629-mini2b-3MIV-step1000-frozen.safetensors,
2000,2000,0,855.0,2026-06-29T09:32:48,327.0,920.5,3.061,3.00,0.84,0.9438,,3.422,1.367,0.2884,,15.39,21.125,20260629-mini2b-3MIV-step2000-frozen.safetensors,
3000,3000,0,1279.7,2026-06-29T09:39:53,345.4,1031.0,2.839,2.94,0.81,0.9561,,3.797,1.266,0.2825,,15.85,21.625,20260629-mini2b-3MIV-step3000-frozen.safetensors,
4000,4000,0,1705.1,2026-06-29T09:46:58,347.9,1065.4,2.747,2.91,0.80,0.9622,,4.031,1.289,0.2808,,16.26,22.375,20260629-mini2b-3MIV-step4000-frozen.safetensors,
5000,5000,0,2128.4,2026-06-29T09:54:02,341.8,1057.0,2.777,2.88,0.81,0.9661,,4.219,1.203,0.2790,,16.19,22.75,20260629-mini2b-3MIV-step5000-frozen.safetensors,
6000,6000,0,2553.0,2026-06-29T10:01:06,342.5,1089.7,2.698,2.91,0.82,0.9695,,4.312,1.188,0.2800,,16.47,23.25,20260629-mini2b-3MIV-step6000-frozen.safetensors,
7000,7000,0,2977.9,2026-06-29T10:08:11,348.9,1120.6,2.675,2.89,0.84,0.9713,,4.469,1.203,0.2800,,16.45,22.75,20260629-mini2b-3MIV-step7000-frozen.safetensors,
8000,8000,0,3403.8,2026-06-29T10:15:17,341.8,1102.8,2.677,2.88,0.82,0.9773,,4.562,1.180,0.2813,,16.44,22.75,20260629-mini2b-3MIV-step8000-frozen.safetensors,
9000,9000,0,3827.6,2026-06-29T10:22:21,346.8,1121.7,2.681,2.88,0.82,0.9758,,4.656,1.148,0.2806,,16.52,23.375,20260629-mini2b-3MIV-step9000-frozen.safetensors,
10000,10000,0,4253.7,2026-06-29T10:29:27,343.1,1147.3,2.640,2.88,0.82,0.9766,,4.719,1.219,0.2827,,16.64,23.125,20260629-mini2b-3MIV-step10000-frozen.safetensors,
11000,11000,0,4682.9,2026-06-29T10:36:36,343.7,1141.5,2.643,2.86,0.82,0.9811,,4.781,1.117,0.2833,,16.66,23.5,20260629-mini2b-3MIV-step11000-frozen.safetensors,
12000,12000,0,5108.8,2026-06-29T10:43:42,343.2,1114.3,2.679,2.83,0.81,0.9812,,4.812,1.016,0.2838,,16.71,24.0,20260629-mini2b-3MIV-step12000-frozen.safetensors,
13000,13000,0,5534.4,2026-06-29T10:50:48,344.1,1147.3,2.631,2.84,0.80,0.9822,,4.812,1.031,0.2823,,16.66,24.25,20260629-mini2b-3MIV-step13000-frozen.safetensors,
14464,1000,1,6143.0,2026-06-29T19:28:16,346.9,1174.85,2.580,2.89,0.82,0.9838,,0.158,0.977,0.2843,0.496;0.196,16.60,23.125,20260629-mini2b-3MIV-step14464-frozen.safetensors,
15464,2000,1,6571.6,2026-06-29T19:35:24,344.6,1187.32,2.578,2.83,0.83,0.9829,,0.165,1.102,0.2858,0.496;0.199,16.67,23.375,20260629-mini2b-3MIV-step15464-frozen.safetensors,
16464,3000,1,6999.2,2026-06-29T19:42:32,341.4,1203.41,2.558,2.86,0.80,0.9840,,0.170,1.125,0.2862,0.496;0.200,16.67,23.625,20260629-mini2b-3MIV-step16464-frozen.safetensors,
17464,4000,1,7428.0,2026-06-29T19:49:41,344.8,1162.37,2.590,2.84,0.80,0.9836,,0.172,1.094,0.2890,0.496;0.207,16.65,23.5,20260629-mini2b-3MIV-step17464-frozen.safetensors,
18464,5000,1,7853.4,2026-06-29T19:56:46,343.5,1162.37,2.632,2.86,0.81,0.9852,,0.176,0.988,0.2874,0.496;0.203,16.60,23.75,20260629-mini2b-3MIV-step18464-frozen.safetensors,
19464,6000,1,8279.2,2026-06-29T20:03:52,342.8,1228.28,2.513,2.80,0.82,0.9858,,0.180,1.055,0.2909,0.496;0.211,16.72,23.625,20260629-mini2b-3MIV-step19464-frozen.safetensors,
20464,7000,1,8704.3,2026-06-29T20:10:57,343.9,1213.78,2.536,2.86,0.84,0.9849,,0.186,1.047,0.2907,0.497;0.210,16.69,24.0,20260629-mini2b-3MIV-step20464-frozen.safetensors,
21464,8000,1,9131.8,2026-06-29T20:18:05,341.1,1258.80,2.492,2.83,0.82,0.9856,,0.190,0.977,0.2921,0.497;0.213,16.61,23.75,20260629-mini2b-3MIV-step21464-frozen.safetensors,
22464,9000,1,9557.6,2026-06-29T20:25:10,343.5,1268.61,2.452,2.81,0.80,0.9869,,0.194,1.016,0.2932,0.497;0.215,16.54,23.625,20260629-mini2b-3MIV-step22464-frozen.safetensors,
23464,10000,1,9984.4,2026-06-29T20:32:17,343.5,1229.84,2.511,2.80,0.82,0.9877,,0.197,0.812,0.2933,0.497;0.215,16.51,23.875,20260629-mini2b-3MIV-step23464-frozen.safetensors,
24464,11000,1,10411.6,2026-06-29T20:39:24,345.2,1244.84,2.528,2.80,0.82,0.9886,,0.200,0.926,0.2952,0.497;0.219,16.57,24.125,20260629-mini2b-3MIV-step24464-frozen.safetensors,
